"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";"instrument";"rating";"outcome_category";"outcome_type";"mean_arm1";"sd_arm1";"mean_arm2";"sd_arm2";"n_arm1";"n_arm2";"baseline_mean_arm1";"baseline_sd_arm1";"baseline_mean_arm2";"baseline_sd_arm2";"source_of_participants";"sex_percentage_male";"mean_age";"country";"number_sessions";"time";"time_weeks";"year";"seq_gen";"alloc_conce";"blinding_assess";"missing_data";"vested_int";"selec_report";"d1";"d2";"d3";"d4";"d5";"rob";"event_arm1";"totaln_arm1";"event_arm2";"totaln_arm2";"mean_change_arm1";"sd_change_arm1";"n_change_arm1";"mean_change_arm2";"sd_change_arm2";"n_change_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"full_ref";".id";".g";".g_se";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2"
"DuPaul, 2018";"F2F BPT";"wl";"F2F BPT";"wl";"Defiant/Aggressive (Conners CEBS)";"parent";"Behavioral problems";"msd";66,6;16,6;75,9;11,3;14;15;72,9;15,7;75,9;12,8;"Community";63,8;4,43;"USA";10;"post";NA;2018;"?";"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"DuPaul, G. J., Kern, L., Belk, G,, et al. (2018) Face-to-Face Versus Online Behavioral Parent Training for Young Children at Risk for ADHD: Treatment Engagement and Outcomes. J Clin Child Adolesc Psychol. 47(1), S369-S383.";"DuPaul_2018_msd_Defiant/Aggressive(ConnersCEBS)_post_NA_parent_F2FBPT_wl_F2FBPT_wl";0,6409581522543665;0,3815665212985968;NA;NA;NA;NA;NA;NA
"DuPaul, 2018";"F2F BPT";"wl";"F2F BPT";"wl";"Global Index - Restless Impulsive (Conners CEBS)";"parent";"ADHD HI";"msd";70,6;11,8;77,9;7,9;14;15;74,5;9,8;77,2;9;"Community";63,8;4,43;"USA";10;"post";NA;2018;"?";"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"DuPaul, G. J., Kern, L., Belk, G,, et al. (2018) Face-to-Face Versus Online Behavioral Parent Training for Young Children at Risk for ADHD: Treatment Engagement and Outcomes. J Clin Child Adolesc Psychol. 47(1), S369-S383.";"DuPaul_2018_msd_GlobalIndex-RestlessImpulsive(ConnersCEBS)_post_NA_parent_F2FBPT_wl_F2FBPT_wl";0,7116629801965013;0,3838468742012216;NA;NA;NA;NA;NA;NA
"DuPaul, 2018";"F2F BPT";"wl";"F2F BPT";"wl";"Global Index - Total (Conners CEBS)";"parent";"ADHD total";"msd";69;12,9;77,1;8,7;14;15;73,4;11,7;77,1;8,9;"Community";63,8;4,43;"USA";10;"post";NA;2018;"?";"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"DuPaul, G. J., Kern, L., Belk, G,, et al. (2018) Face-to-Face Versus Online Behavioral Parent Training for Young Children at Risk for ADHD: Treatment Engagement and Outcomes. J Clin Child Adolesc Psychol. 47(1), S369-S383.";"DuPaul_2018_msd_GlobalIndex-Total(ConnersCEBS)_post_NA_parent_F2FBPT_wl_F2FBPT_wl";0,7205879303915852;0,384150639372438;NA;NA;NA;NA;NA;NA
"DuPaul, 2018";"F2F BPT";"wl";"F2F BPT";"wl";"Mood/Affect (Conners CEBS)";"parent";NA;"msd";65,3;16,3;72,4;10,8;14;15;71,5;16,8;72,2;12,2;"Community";63,8;4,43;"USA";10;"post";NA;2018;"?";"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"DuPaul, G. J., Kern, L., Belk, G,, et al. (2018) Face-to-Face Versus Online Behavioral Parent Training for Young Children at Risk for ADHD: Treatment Engagement and Outcomes. J Clin Child Adolesc Psychol. 47(1), S369-S383.";"DuPaul_2018_msd_Mood/Affect(ConnersCEBS)_post_NA_parent_F2FBPT_wl_F2FBPT_wl";0,5027613823774397;0,3777676254756767;NA;NA;NA;NA;NA;NA
"DuPaul, 2018";"Online BPT";"wl";"Online BPT";"wl";"Inattention/Overactivity (Conners CEBS)";"parent";"ADHD A";"msd";71,2;9;76,9;8,6;13;15;76,5;8,1;77,4;9,5;"Community";63,8;4,43;"USA";10;"post";NA;2018;"?";"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"DuPaul, G. J., Kern, L., Belk, G,, et al. (2018) Face-to-Face Versus Online Behavioral Parent Training for Young Children at Risk for ADHD: Treatment Engagement and Outcomes. J Clin Child Adolesc Psychol. 47(1), S369-S383.";"DuPaul_2018_msd_Inattention/Overactivity(ConnersCEBS)_post_NA_parent_OnlineBPT_wl_OnlineBPT_wl";0,6298005247482761;0,3887211231325493;NA;NA;NA;NA;NA;NA
"DuPaul, 2018";"Online BPT";"wl";"Online BPT";"wl";"Defiant/Aggressive (Conners CEBS)";"parent";"Behavioral problems";"msd";70,2;14,2;75,9;11,3;13;15;77,1;13,6;75,9;12,8;"Community";63,8;4,43;"USA";10;"post";NA;2018;"?";"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"DuPaul, G. J., Kern, L., Belk, G,, et al. (2018) Face-to-Face Versus Online Behavioral Parent Training for Young Children at Risk for ADHD: Treatment Engagement and Outcomes. J Clin Child Adolesc Psychol. 47(1), S369-S383.";"DuPaul_2018_msd_Defiant/Aggressive(ConnersCEBS)_post_NA_parent_OnlineBPT_wl_OnlineBPT_wl";0,4350312952424339;0,383634017595021;NA;NA;NA;NA;NA;NA
"DuPaul, 2018";"Online BPT";"wl";"Online BPT";"wl";"Global Index - Restless Impulsive (Conners CEBS)";"parent";"ADHD HI";"msd";68;11,1;77,9;7,9;13;15;75,2;9,8;77,2;9;"Community";63,8;4,43;"USA";10;"post";NA;2018;"?";"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"DuPaul, G. J., Kern, L., Belk, G,, et al. (2018) Face-to-Face Versus Online Behavioral Parent Training for Young Children at Risk for ADHD: Treatment Engagement and Outcomes. J Clin Child Adolesc Psychol. 47(1), S369-S383.";"DuPaul_2018_msd_GlobalIndex-RestlessImpulsive(ConnersCEBS)_post_NA_parent_OnlineBPT_wl_OnlineBPT_wl";1,010513179516919;0,4036518514795148;NA;NA;NA;NA;NA;NA
"DuPaul, 2018";"Online BPT";"wl";"Online BPT";"wl";"Global Index - Total (Conners CEBS)";"parent";"ADHD total";"msd";66,4;10,9;77,1;8,7;13;15;74,5;9,8;77,1;8,9;"Community";63,8;4,43;"USA";10;"post";NA;2018;"?";"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"DuPaul, G. J., Kern, L., Belk, G,, et al. (2018) Face-to-Face Versus Online Behavioral Parent Training for Young Children at Risk for ADHD: Treatment Engagement and Outcomes. J Clin Child Adolesc Psychol. 47(1), S369-S383.";"DuPaul_2018_msd_GlobalIndex-Total(ConnersCEBS)_post_NA_parent_OnlineBPT_wl_OnlineBPT_wl";1,062519299688874;0,4061739113691161;NA;NA;NA;NA;NA;NA
"DuPaul, 2018";"Online BPT";"wl";"Online BPT";"wl";"Mood/Affect (Conners CEBS)";"parent";NA;"msd";60,9;9,8;72,4;10,8;13;15;70,7;9,2;72,2;12,2;"Community";63,8;4,43;"USA";10;"post";NA;2018;"?";"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"DuPaul, G. J., Kern, L., Belk, G,, et al. (2018) Face-to-Face Versus Online Behavioral Parent Training for Young Children at Risk for ADHD: Treatment Engagement and Outcomes. J Clin Child Adolesc Psychol. 47(1), S369-S383.";"DuPaul_2018_msd_Mood/Affect(ConnersCEBS)_post_NA_parent_OnlineBPT_wl_OnlineBPT_wl";1,078699272076174;0,4069810569627637;NA;NA;NA;NA;NA;NA
"Fabiano, 2010";"DRC";"tau";NA;NA;"ADHD symptoms/impairment DBD-ODD/CD";"teacher";"Behavioral problems";"msd";0,48;0,53;0,81;0,79;33;27;0,5;0,66;0,56;0,62;"Community";86;8,17;"USA";6;"post";NA;2010;"?";"?";0;1;1;"?";"Some concerns";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fabiano, G., Pelham, W., Waschbusch, D., Massetti, G., Vujnovic, R., Pariseau, M., Naylor, J., Robins, M., Carnefix, T., Greiner, A., Volker, M., Lopata, C. (2010). Enhancing the Effectiveness of Special Education Programming for Children With Attention Deficit Hyperactivity Disorder Using a Daily Report Card. School psychology review. 39. 219-239.";"Fabiano_2010_msd_ADHDsymptoms/impairmentDBD-ODD/CD_post_NA_teacher_DRC_tau_NA_NA";0,4939896762441304;0,2634909527362551;NA;NA;NA;NA;NA;NA
"Fabiano, 2010";"DRC";"tau";NA;NA;"ADHD symptoms/impairment DBD-ADHD (Conners CEBS)";"teacher";"ADHD total";"msd";26,6;7,5;29,3;10,1;33;27;31,9;7,6;31;9,7;"Community";86;8,17;"USA";6;"post";NA;2010;"?";"?";0;1;1;"?";"Some concerns";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fabiano, G., Pelham, W., Waschbusch, D., Massetti, G., Vujnovic, R., Pariseau, M., Naylor, J., Robins, M., Carnefix, T., Greiner, A., Volker, M., Lopata, C. (2010). Enhancing the Effectiveness of Special Education Programming for Children With Attention Deficit Hyperactivity Disorder Using a Daily Report Card. School psychology review. 39. 219-239.";"Fabiano_2010_msd_ADHDsymptoms/impairmentDBD-ADHD(ConnersCEBS)_post_NA_teacher_DRC_tau_NA_NA";0,3041657916428589;0,2610200436183006;NA;NA;NA;NA;NA;NA
"Fabiano, 2012";"Coaches";"wl";NA;NA;"ECBI- intensity (mother)";"mother";"Behavioral problems";"msd";56,75;8,42;61,8;8,92;28;27;64,84;8,83;63,69;8,7;"Community";87;8,51;"USA";8;"post";NA;2012;"?";"?";0;1;"?";"?";"Some concerns";"High";"High";"Some concerns";"Some concerns";"High";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fabiano, G.A., Pelham, W.E., Cunningham, C.E., et al. (2012) A Waitlist-Controlled Trial of Behavioral Parent Training for Fathers of Children with ADHD. J Clin Child Adolesc Psychol, 41(3), 337-345.";"Fabiano_2012_msd_ECBI-intensity(mother)_post_NA_mother_Coaches_wl_NA_NA";0,5742604399384885;0,2753840607214513;NA;NA;NA;NA;NA;NA
"Ferrin, 2014";"Psychoeducation";"Active control";NA;NA;"CPRS-INDEX";"parent";"ADHD total";"msd";16,8;7,18;22,44;6,13;42;37;19,15;8,12;21,13;6,48;"Clinic";80,2;10,652;"Spain";12;"post";NA;2014;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ferrin, M., Moreno-Granados, J. M., Salcedo-Marin, M. D., Ruiz-Veguilla, M., Perez-Ayala, V., & Taylor, E. (2014). Evaluation of a psychoeducation programme for parents of children and adolescents with ADHD: Immediate and long-term effects using a blind randomized controlled trial. European Child and Adolescent Psychiatry, 23(8), 637–647.";"Ferrin_2014_msd_CPRS-INDEX_post_NA_parent_PSY_Control_NA_NA";0,8323754913818048;0,2351779035050698;NA;NA;NA;NA;NA;NA
"Ferrin, 2014";"Psychoeducation";"Active control";NA;NA;"CPRS-Opposition";"parent";"Behavioral problems";"msd";4,95;3,79;6,18;3,87;42;37;5,8;4,26;5,91;4,14;"Clinic";80,2;10,652;"Spain";12;"post";NA;2014;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ferrin, M., Moreno-Granados, J. M., Salcedo-Marin, M. D., Ruiz-Veguilla, M., Perez-Ayala, V., & Taylor, E. (2014). Evaluation of a psychoeducation programme for parents of children and adolescents with ADHD: Immediate and long-term effects using a blind randomized controlled trial. European Child and Adolescent Psychiatry, 23(8), 637–647.";"Ferrin_2014_msd_CPRS-Opposition_post_NA_parent_PSY_Control_NA_NA";0,3182090714342573;0,226914365155321;NA;NA;NA;NA;NA;NA
"Ferrin, 2014";"Psychoeducation";"Active control";NA;NA;"CPRS-HI";"parent";"ADHD HI";"msd";6,74;4,84;8,45;4;42;37;8,07;5,34;8,17;4,05;"Clinic";80,2;10,652;"Spain";12;"post";NA;2014;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ferrin, M., Moreno-Granados, J. M., Salcedo-Marin, M. D., Ruiz-Veguilla, M., Perez-Ayala, V., & Taylor, E. (2014). Evaluation of a psychoeducation programme for parents of children and adolescents with ADHD: Immediate and long-term effects using a blind randomized controlled trial. European Child and Adolescent Psychiatry, 23(8), 637–647.";"Ferrin_2014_msd_CPRS-HI_post_NA_parent_PSY_Control_NA_NA";0,3790683472733473;0,2275171141156306;NA;NA;NA;NA;NA;NA
"Ferrin, 2014";"Psychoeducation";"Active control";NA;NA;"CPRS-Inattention";"parent";"ADHD A";"msd";7,95;3,84;11;3,28;42;37;9,41;4,54;10,48;3,44;"Clinic";80,2;10,652;"Spain";12;"post";NA;2014;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ferrin, M., Moreno-Granados, J. M., Salcedo-Marin, M. D., Ruiz-Veguilla, M., Perez-Ayala, V., & Taylor, E. (2014). Evaluation of a psychoeducation programme for parents of children and adolescents with ADHD: Immediate and long-term effects using a blind randomized controlled trial. European Child and Adolescent Psychiatry, 23(8), 637–647.";"Ferrin_2014_msd_CPRS-Inattention_post_NA_parent_PSY_Control_NA_NA";0,8414970441234684;0,2353873358769637;NA;NA;NA;NA;NA;NA
"Ferrin, 2016";"Psychoeducation";"tau";NA;NA;"CPRS Index";"parent";"ADHD total";"msd";28,4;6,06;25,35;8,96;35;34;28,46;5,06;28,09;7,31;"Clinic";86,98985507;10,71217391;"UK";6;"post";NA;2016;1;1;0;1;0;1;"Some concerns";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ferrin, M., Perez-Ayala, V., El-Abd, S., Lax-Pericall, T., Jacobs, B., Bilbow, A., & Taylor, E. (2016). A Randomized Controlled Trial Evaluating the Efficacy of a Psychoeducation Program for Families of Children and Adolescents With ADHD in the United Kingdom. Journal of Attention Disorders, 1-12.";"Ferrin_2016_msd_CPRSIndex_post_NA_parent_Psychoeducation_tau_NA_NA";-0,3953801183029914;0,2431910316646677;NA;NA;NA;NA;NA;NA
"Ferrin, 2016";"Psychoeducation";"tau";NA;NA;"CPRS opposition";"parent";"Behavioral problems";"msd";12,09;4,01;11,76;4,5;35;34;12,57;4,39;12,79;3,83;"Clinic";86,98985507;10,71217391;"UK";6;"post";NA;2016;1;1;0;1;0;1;"Some concerns";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ferrin, M., Perez-Ayala, V., El-Abd, S., Lax-Pericall, T., Jacobs, B., Bilbow, A., & Taylor, E. (2016). A Randomized Controlled Trial Evaluating the Efficacy of a Psychoeducation Program for Families of Children and Adolescents With ADHD in the United Kingdom. Journal of Attention Disorders, 1-12.";"Ferrin_2016_msd_CPRSopposition_post_NA_parent_Psychoeducation_tau_NA_NA";-0,07662325935878332;0,2408873389464448;NA;NA;NA;NA;NA;NA
"Ferrin, 2016";"Psychoeducation";"tau";NA;NA;"CPRS Hyp/Imp";"parent";"ADHD HI";"msd";12,86;3,54;11,21;5,21;35;34;12,09;4,8;12,71;4,47;"Clinic";86,98985507;10,71217391;"UK";6;"post";NA;2016;1;1;0;1;0;1;"Some concerns";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ferrin, M., Perez-Ayala, V., El-Abd, S., Lax-Pericall, T., Jacobs, B., Bilbow, A., & Taylor, E. (2016). A Randomized Controlled Trial Evaluating the Efficacy of a Psychoeducation Program for Families of Children and Adolescents With ADHD in the United Kingdom. Journal of Attention Disorders, 1-12.";"Ferrin_2016_msd_CPRSHyp/Imp_post_NA_parent_Psychoeducation_tau_NA_NA";-0,3673045076943621;0,2428645010588896;NA;NA;NA;NA;NA;NA
"Ferrin, 2016";"Psychoeducation";"tau";NA;NA;"CPRS Inat/Cog";"parent";"ADHD A";"msd";13,83;3,63;12,38;4,99;35;34;13,94;2,91;13,56;4,18;"Clinic";86,98985507;10,71217391;"UK";6;"post";NA;2016;1;1;0;1;0;1;"Some concerns";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ferrin, M., Perez-Ayala, V., El-Abd, S., Lax-Pericall, T., Jacobs, B., Bilbow, A., & Taylor, E. (2016). A Randomized Controlled Trial Evaluating the Efficacy of a Psychoeducation Program for Families of Children and Adolescents With ADHD in the United Kingdom. Journal of Attention Disorders, 1-12.";"Ferrin_2016_msd_CPRSInat/Cog_post_NA_parent_Psychoeducation_tau_NA_NA";-0,3293399748611293;0,2424605840839598;NA;NA;NA;NA;NA;NA
"Franke, 2016";"Level 4 Group Positive Parenting Program Online";"wl";NA;NA;"Conners-Def/aggressive (mother)";"mother";"Behavioral problems";"msd";66,91;11,55;73,81;9,26;27;26;77,4;11,28;79,31;10,72;"Community";71,7;4;"New Zealand";8;"post";NA;2016;"?";"?";0;1;0;"?";"Low";"Low";"Low";"High";"Some concerns";"High";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Franke, N., Keown, L.J., Sanders, M.R. (2016) An RCT of an Online Parenting Program for Parents of Preschool-Aged Children With ADHD symptoms. J Atten Disord.";"Franke_2016_msd_Conners-Def/aggressive(mother)_post_NA_mother_INT_wl_NA_NA";0,648042230231917;0,282099624241331;NA;NA;NA;NA;NA;NA
"Franke, 2016";"Level 4 Group Positive Parenting Program Online";"wl";NA;NA;"Conners- Hyperactive inattentive (mother";"mother";"ADHD HI";"msd";62,04;8,78;69,33;11,53;27;26;73,52;11;74,65;12,52;"Community";71,7;4;"New Zealand";8;"post";NA;2016;"?";"?";0;1;0;"?";"Low";"Low";"Low";"High";"Some concerns";"High";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Franke, N., Keown, L.J., Sanders, M.R. (2016) An RCT of an Online Parenting Program for Parents of Preschool-Aged Children With ADHD symptoms. J Atten Disord.";"Franke_2016_msd_Conners-Hyperactiveinattentive(mother_post_NA_mother_INT_wl_NA_NA";0,7027029318657123;0,2833686388068903;NA;NA;NA;NA;NA;NA
"Herbert, 2013";"Parent training";"wl";NA;NA;"Combined";"parent";"ADHD total";"msd";1,315;0,62;1,85;0,575;17;14;1,825;0,565;1,895;0,585;"Community";74,2;4,58;"USA";14;"post";NA;2013;1;"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Herbert, S.D., Harvey, E.A., Roberts, J.L., Wichowski, K., Lugo-Candelas, C.I. (2013) A Randomized Controlled Trial of a Parent Training and Emotion Socialization Program for Families of Hyperactive Preschool-Aged Children. Behav Ther, 44(2), 302-316.";"Herbert_2013_msd_Combined_post_NA_parent_Parenttraining_wl_NA_NA";0,8680514566512585;0,378239789869205;NA;NA;NA;NA;NA;NA
"Herbert, 2013";"Parent training";"wl";NA;NA;"DBRS ODD";"parent";"Behavioral problems";"msd";1,01;0,67;1,26;0,84;17;14;1,46;0,54;1,36;0,8;"Community";74,2;4,58;"USA";14;"post";NA;2013;1;"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Herbert, S.D., Harvey, E.A., Roberts, J.L., Wichowski, K., Lugo-Candelas, C.I. (2013) A Randomized Controlled Trial of a Parent Training and Emotion Socialization Program for Families of Hyperactive Preschool-Aged Children. Behav Ther, 44(2), 302-316.";"Herbert_2013_msd_DBRSODD_post_NA_parent_Parenttraining_wl_NA_NA";0,3242136237180901;0,3633724490102975;NA;NA;NA;NA;NA;NA
"Herbert, 2013";"Parent training";"wl";NA;NA;"DBRS hyperactivity-impulsivity";"parent";"ADHD HI";"msd";1,51;0,65;2,1;0,59;17;14;1,91;0,56;2,1;0,56;"Community";74,2;4,58;"USA";14;"post";NA;2013;1;"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Herbert, S.D., Harvey, E.A., Roberts, J.L., Wichowski, K., Lugo-Candelas, C.I. (2013) A Randomized Controlled Trial of a Parent Training and Emotion Socialization Program for Families of Hyperactive Preschool-Aged Children. Behav Ther, 44(2), 302-316.";"Herbert_2013_msd_DBRShyperactivity-impulsivity_post_NA_parent_Parenttraining_wl_NA_NA";0,9211166627503042;0,3803679860632241;NA;NA;NA;NA;NA;NA
"Herbert, 2013";"Parent training";"wl";NA;NA;"DBRS inattention";"parent";"ADHD A";"msd";1,12;0,59;1,6;0,56;17;14;1,74;0,57;1,69;0,61;"Community";74,2;4,58;"USA";14;"post";NA;2013;1;"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Herbert, S.D., Harvey, E.A., Roberts, J.L., Wichowski, K., Lugo-Candelas, C.I. (2013) A Randomized Controlled Trial of a Parent Training and Emotion Socialization Program for Families of Hyperactive Preschool-Aged Children. Behav Ther, 44(2), 302-316.";"Herbert_2013_msd_DBRSinattention_post_NA_parent_Parenttraining_wl_NA_NA";0,8105462211136099;0,3760637049933335;NA;NA;NA;NA;NA;NA
"Hoath, 2002";"EGTP";"wl";NA;NA;"Combined";"parent";"ADHD total";"msd";7,22;1,975;8,27;1,905;9;11;7,835000000000001;2,3;8,5;2,6550000000000002;"Community";80;7,7;"Australia";9;"post";NA;2002;"?";"?";0;1;"?";"?";"Some concerns";"Low";"Low";"High";"Some concerns";"High";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Hoath, F. E., Sanders, M.R. (2002). A feasibility study of Enhanced Group Triple P – Positive parenting program for parents of children with attention-deficit/hyperactivity disorder. Behav Chang, 19(4, 191-206.";"Hoath_2002_msd_Combined_post_NA_parent_EGTP_wl_NA_NA";0,5193253356386577;0,4575704528035261;NA;NA;NA;NA;NA;NA
"Hoath, 2002";"EGTP";"wl";NA;NA;"ECBI intensity";"parent";"Behavioral problems";"msd";125,22;35,63;148,36;40,29;9;11;164,22;28,13;159,73;41,08;"Community";80;7,7;"Australia";9;"post";NA;2002;"?";"?";0;1;"?";"?";"Some concerns";"Low";"Low";"High";"Some concerns";"High";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Hoath, F. E., Sanders, M.R. (2002). A feasibility study of Enhanced Group Triple P – Positive parenting program for parents of children with attention-deficit/hyperactivity disorder. Behav Chang, 19(4, 191-206.";"Hoath_2002_msd_ECBIintensity_post_NA_parent_EGTP_wl_NA_NA";0,5788155860077312;0,4595119394053311;NA;NA;NA;NA;NA;NA
"Hoath, 2002";"EGTP";"wl";NA;NA;"CAP overactivity Parent";"parent";"ADHD HI";"msd";6,33;1,58;7,36;1,63;9;11;7,11;1,9;7,64;2,11;"Community";80;7,7;"Australia";9;"post";NA;2002;"?";"?";0;1;"?";"?";"Some concerns";"Low";"Low";"High";"Some concerns";"High";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Hoath, F. E., Sanders, M.R. (2002). A feasibility study of Enhanced Group Triple P – Positive parenting program for parents of children with attention-deficit/hyperactivity disorder. Behav Chang, 19(4, 191-206.";"Hoath_2002_msd_CAPoveractivityParent_post_NA_parent_EGTP_wl_NA_NA";0,6134934334586495;0,4607364844338944;NA;NA;NA;NA;NA;NA
"Hoath, 2002";"EGTP";"wl";NA;NA;"CAP Inattention Parent";"parent";"ADHD A";"msd";8,11;2,37;9,18;2,18;9;11;8,56;2,7;9,36;3,2;"Community";80;7,7;"Australia";9;"post";NA;2002;"?";"?";0;1;"?";"?";"Some concerns";"Low";"Low";"High";"Some concerns";"High";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Hoath, F. E., Sanders, M.R. (2002). A feasibility study of Enhanced Group Triple P – Positive parenting program for parents of children with attention-deficit/hyperactivity disorder. Behav Chang, 19(4, 191-206.";"Hoath_2002_msd_CAPInattentionParent_post_NA_parent_EGTP_wl_NA_NA";0,4521635277554338;0,4556231377073954;NA;NA;NA;NA;NA;NA
"Lange, 2018";"NFPP";"tau";NA;NA;"ADHD Rating Scale-IV (ADHD-RS-IV)–Preschool Danish Version (adhd total)";"parent";"ADHD total";"msd";29,18;9,08;33,98;8,82;84;64;33,44;9,97;35,37;8,9;"Clinic";73;5,08;"Denmark";8;"post";NA;2018;1;1;0;1;"?";1;"Low";"Low";"Low";"Low";"Low";"Low";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lange, A.M., Daley, D., Frydenberg, M., et al. (2018) Parent Training for Preschool ADHD in Routine, Specialist Care: A Randomized Controlled Trial. J Am Acad Child Adolesc Psychiatry, 57(8), 593-602.";"Lange_2018_msd_ADHDRatingScale-IV(ADHD-RS-IV)–PreschoolDanishVersion(adhdtotal)_post_NA_parent_NFPP_tau_NA_NA";0,5324386739085343;0,1688118326624893;NA;NA;NA;NA;NA;NA
